,step,average_time,average_reward
133,133,12.515606426672536,0.5475026701951191
134,134,12.720665135587401,0.542746711169154
135,135,12.61292067569764,0.514262256387618
136,136,12.411709686363965,0.5461462595243693
137,137,12.503865444952694,0.5435940305613336
138,138,12.300198827968284,0.5262657855350686
139,139,12.406135429047858,0.5432686047461738
140,140,12.699615708606988,0.53916318082852
141,141,12.411678357062442,0.5488541454999407
142,142,12.644379202856573,0.5391033277146231
143,143,12.548741561828297,0.5319468824590315
144,144,12.407913863531752,0.5398867068708094
145,145,12.423799689892192,0.5455919074265267
146,146,12.860270030945816,0.502779053021082
147,147,12.71179217348394,0.5416989175883513
148,148,12.300345739105719,0.5479074715890858
149,149,12.573964072788062,0.541865329116878
150,150,12.360878203624871,0.5489369933731778
151,151,12.37210489630461,0.5432195835978643
152,152,12.717626932386457,0.5431960397934162
